????????????,??????,????????????,?????????,?????????
202307,6/27/2023 0:00,TX,16863,2
202307,6/27/2023 0:00,TX,16862,2
202307,6/27/2023 0:00,TX,16862,2
202307,6/27/2023 0:00,TX,16862,2
202307,6/27/2023 0:00,TX,16862,2
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16862,2
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16861,4
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16861,2
202307,6/27/2023 0:00,TX,16860,2
202307,6/27/2023 0:00,TX,16861,4
202307,6/27/2023 0:00,TX,16863,30
202308,6/27/2023 0:00,TX,16825,2
202307,6/27/2023 0:00,TX,16864,2
202307,6/27/2023 0:00,TX,16864,2
202307,6/27/2023 0:00,TX,16864,2
202307,6/27/2023 0:00,TX,16864,4
202307,6/27/2023 0:00,TX,16864,2
202307,6/27/2023 0:00,TX,16864,2
202307,6/27/2023 0:00,TX,16864,2
202307,6/27/2023 0:00,TX,16863,2
202307,6/27/2023 0:01,TX,16863,4
202307,6/27/2023 0:01,TX,16863,4
202307,6/27/2023 0:01,TX,16863,2
202307,6/27/2023 0:01,TX,16864,2
202307,6/27/2023 0:01,TX,16863,2
202307,6/27/2023 0:01,TX,16863,2
202307,6/27/2023 0:01,TX,16863,2
202307,6/27/2023 0:01,TX,16863,2
202307,6/27/2023 0:01,TX,16862,4
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16862,2
202307,6/27/2023 0:01,TX,16862,4
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16861,10
202307,6/27/2023 0:01,TX,16861,10
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16861,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16860,2
202307,6/27/2023 0:01,TX,16862,2
202307,6/27/2023 0:01,TX,16862,4
202307,6/27/2023 0:02,TX,16861,2
202307,6/27/2023 0:02,TX,16861,2
202307,6/27/2023 0:02,TX,16861,4
202307,6/27/2023 0:02,TX,16860,2
202307,6/27/2023 0:02,TX,16860,2
202307,6/27/2023 0:02,TX,16860,2
202307,6/27/2023 0:02,TX,16860,2
202307,6/27/2023 0:02,TX,16860,2
202307,6/27/2023 0:02,TX,16860,2
202307,6/27/2023 0:02,TX,16860,4
202307,6/27/2023 0:02,TX,16859,2
202307,6/27/2023 0:02,TX,16859,2
202307,6/27/2023 0:02,TX,16859,2
202307,6/27/2023 0:02,TX,16859,2
202307,6/27/2023 0:02,TX,16859,2
202307,6/27/2023 0:02,TX,16858,2
202307,6/27/2023 0:02,TX,16858,2
202307,6/27/2023 0:02,TX,16858,2
202307,6/27/2023 0:02,TX,16858,2
202307,6/27/2023 0:02,TX,16858,2
202307,6/27/2023 0:02,TX,16858,4
202307,6/27/2023 0:02,TX,16857,2
202307,6/27/2023 0:02,TX,16857,2
202307,6/27/2023 0:02,TX,16857,2
202307,6/27/2023 0:03,TX,16856,4
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16857,2
202307,6/27/2023 0:03,TX,16857,2
202307,6/27/2023 0:03,TX,16856,6
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,4
202307,6/27/2023 0:03,TX,16856,8
202307,6/27/2023 0:03,TX,16856,6
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,4
202307,6/27/2023 0:03,TX,16856,4
202307,6/27/2023 0:03,TX,16856,4
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,16
202307,6/27/2023 0:03,TX,16856,6
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16854,4
202307,6/27/2023 0:03,TX,16854,2
202307,6/27/2023 0:03,TX,16854,2
202307,6/27/2023 0:03,TX,16854,2
202307,6/27/2023 0:03,TX,16854,2
202307,6/27/2023 0:03,TX,16854,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16855,2
202307,6/27/2023 0:03,TX,16856,2
202307,6/27/2023 0:03,TX,16856,4
202307,6/27/2023 0:03,TX,16857,2
202307,6/27/2023 0:04,TX,16856,2
202307,6/27/2023 0:04,TX,16857,2
202307,6/27/2023 0:04,TX,16857,2
202307,6/27/2023 0:04,TX,16857,4
202307,6/27/2023 0:04,TX,16857,4
202307,6/27/2023 0:04,TX,16858,2
202307,6/27/2023 0:04,TX,16858,4
202307,6/27/2023 0:04,TX,16858,8
202307,6/27/2023 0:04,TX,16859,2
202307,6/27/2023 0:04,TX,16859,2
202307,6/27/2023 0:04,TX,16860,12
202307,6/27/2023 0:04,TX,16858,4
202307,6/27/2023 0:04,TX,16858,2
202307,6/27/2023 0:04,TX,16858,2
202307,6/27/2023 0:04,TX,16857,2
202307,6/27/2023 0:05,TX,16856,6
202307,6/27/2023 0:05,TX,16855,2
202307,6/27/2023 0:05,TX,16855,2
202307,6/27/2023 0:05,TX,16855,2
202307,6/27/2023 0:05,TX,16855,2
202307,6/27/2023 0:05,TX,16854,2
202307,6/27/2023 0:05,TX,16854,2
202307,6/27/2023 0:05,TX,16854,4
202307,6/27/2023 0:05,TX,16854,4
202307,6/27/2023 0:05,TX,16854,2
202307,6/27/2023 0:05,TX,16854,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202308,6/27/2023 0:05,TX,16815,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,4
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,10
202307,6/27/2023 0:05,TX,16851,4
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,4
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16853,4
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16853,4
202307,6/27/2023 0:05,TX,16854,6
202307,6/27/2023 0:05,TX,16853,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16852,2
202307,6/27/2023 0:05,TX,16851,4
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16851,4
202307,6/27/2023 0:05,TX,16851,4
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16851,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,4
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,6
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,10
202307,6/27/2023 0:05,TX,16850,16
202307,6/27/2023 0:05,TX,16850,4
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16850,2
202307,6/27/2023 0:05,TX,16849,2
202307,6/27/2023 0:05,TX,16849,2
202307,6/27/2023 0:05,TX,16849,8
202307,6/27/2023 0:05,TX,16849,4
202307,6/27/2023 0:05,TX,16848,2
202307,6/27/2023 0:05,TX,16848,2
202307,6/27/2023 0:05,TX,16848,2
202307,6/27/2023 0:05,TX,16848,2
202307,6/27/2023 0:05,TX,16848,2
202307,6/27/2023 0:05,TX,16848,10
202307,6/27/2023 0:05,TX,16847,2
202307,6/27/2023 0:05,TX,16847,2
202307,6/27/2023 0:05,TX,16847,2
202307,6/27/2023 0:05,TX,16847,4
202307,6/27/2023 0:05,TX,16847,8
202307,6/27/2023 0:05,TX,16848,2
202307,6/27/2023 0:05,TX,16847,4
202307,6/27/2023 0:05,TX,16847,2
202307,6/27/2023 0:05,TX,16847,2
202307,6/27/2023 0:05,TX,16846,4
202307,6/27/2023 0:05,TX,16846,6
202307,6/27/2023 0:05,TX,16846,4
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16845,2
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16846,4
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:05,TX,16846,4
202307,6/27/2023 0:05,TX,16846,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16845,2
202307,6/27/2023 0:06,TX,16845,2
202307,6/27/2023 0:06,TX,16845,2
202307,6/27/2023 0:06,TX,16845,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16845,2
202307,6/27/2023 0:06,TX,16846,4
202307,6/27/2023 0:06,TX,16846,4
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16846,2
202307,6/27/2023 0:06,TX,16848,2
202307,6/27/2023 0:06,TX,16848,2
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16848,2
202307,6/27/2023 0:06,TX,16848,4
202307,6/27/2023 0:06,TX,16847,2
202307,6/27/2023 0:06,TX,16849,6
202307,6/27/2023 0:06,TX,16850,6
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16850,4
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,4
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16850,4
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16848,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16851,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,4
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16848,4
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16849,2
202307,6/27/2023 0:06,TX,16850,2
202307,6/27/2023 0:06,TX,16850,8
202307,6/27/2023 0:06,TX,16851,2
202307,6/27/2023 0:06,TX,16851,2
202307,6/27/2023 0:06,TX,16851,2
202307,6/27/2023 0:07,TX,16851,6
202307,6/27/2023 0:07,TX,16851,4
202307,6/27/2023 0:07,TX,16850,2
202307,6/27/2023 0:07,TX,16850,10
202307,6/27/2023 0:07,TX,16849,2
202307,6/27/2023 0:07,TX,16849,2
202307,6/27/2023 0:07,TX,16849,6
202307,6/27/2023 0:07,TX,16849,2
202307,6/27/2023 0:07,TX,16848,2
202307,6/27/2023 0:07,TX,16848,2
202307,6/27/2023 0:07,TX,16847,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,6
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16847,4
202307,6/27/2023 0:07,TX,16846,4
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,4
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,4
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,8
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,8
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16844,2
202307,6/27/2023 0:07,TX,16844,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,4
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16845,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,2
202307,6/27/2023 0:07,TX,16846,4
202307,6/27/2023 0:08,TX,16845,2
202307,6/27/2023 0:08,TX,16846,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,6
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,4
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,8
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,4
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16843,4
202307,6/27/2023 0:08,TX,16843,4
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16844,8
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16842,2
202308,6/27/2023 0:08,TX,16805,2
202308,6/27/2023 0:08,TX,16805,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16843,4
202307,6/27/2023 0:08,TX,16843,4
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16842,2
202307,6/27/2023 0:08,TX,16841,2
202307,6/27/2023 0:08,TX,16841,2
202307,6/27/2023 0:08,TX,16841,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16844,8
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:08,TX,16844,6
202307,6/27/2023 0:08,TX,16844,2
202307,6/27/2023 0:08,TX,16843,2
202307,6/27/2023 0:09,TX,16844,2
202307,6/27/2023 0:09,TX,16844,2
202308,6/27/2023 0:09,TX,16805,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,4
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16842,2
202307,6/27/2023 0:09,TX,16844,10
202307,6/27/2023 0:09,TX,16844,10
202307,6/27/2023 0:09,TX,16844,8
202307,6/27/2023 0:09,TX,16845,2
202307,6/27/2023 0:09,TX,16844,8
202307,6/27/2023 0:09,TX,16845,22
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16844,4
202307,6/27/2023 0:09,TX,16843,2
202307,6/27/2023 0:09,TX,16843,4
